Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
29	TR	H0Y8D8	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1821	9376	97.7	97.7	0.0
30	TR	H2NTX3	Breast cancer type 1 susceptibility protein homolog OS=Pongo abelii OX=9601 GN=BRCA1 PE=4 SV=2	Pongo abelii	1863	9305	96.8	97.8	0.0
31	SP	Q6J6J0	Breast cancer type 1 susceptibility protein homolog OS=Pongo pygmaeus OX=9600 GN=BRCA1 PE=3 SV=1	Pongo pygmaeus	1863	9304	96.8	97.8	0.0
32	TR	A0A075VSA3	Breast cancer type 1 susceptibility protein homolog OS=Pongo pygmaeus OX=9600 GN=BRCA1 PE=2 SV=1	Pongo pygmaeus	1863	9289	96.7	97.7	0.0
33	TR	A0A2J8REL0	RING-type E3 ubiquitin transferase OS=Pongo abelii OX=9601 GN=BRCA1 PE=4 SV=1	Pongo abelii	1884	9270	95.7	96.7	0.0
34	TR	A0A075VR01	Breast cancer type 1 susceptibility protein homolog OS=Symphalangus syndactylus OX=9590 GN=BRCA1 PE=2 SV=1	Symphalangus syndactylus	1861	9224	96.1	97.3	0.0
35	TR	A0A2R9AJD0	Breast cancer type 1 susceptibility protein homolog OS=Pan paniscus OX=9597 PE=4 SV=1	Pan paniscus	1845	9220	96.5	97.0	0.0
36	TR	A0A075VSA7	Breast cancer type 1 susceptibility protein homolog OS=Nomascus leucogenys OX=61853 GN=BRCA1 PE=2 SV=1	Nomascus leucogenys	1863	9218	96.0	97.3	0.0
37	TR	A0A075VXL2	Breast cancer type 1 susceptibility protein homolog OS=Nomascus gabriellae OX=61852 GN=BRCA1 PE=2 SV=1	Nomascus gabriellae	1863	9213	95.9	97.3	0.0
38	TR	G1RN17	Breast cancer type 1 susceptibility protein homolog OS=Nomascus leucogenys OX=61853 GN=BRCA1 PE=4 SV=1	Nomascus leucogenys	1863	9209	95.9	97.2	0.0
39	TR	A0A075VSA0	Breast cancer type 1 susceptibility protein homolog OS=Hylobates lar OX=9580 GN=BRCA1 PE=2 SV=1	Hylobates lar	1861	9208	95.9	97.2	0.0
40	TR	A0A075VNR1	Breast cancer type 1 susceptibility protein homolog OS=Hylobates agilis OX=9579 GN=BRCA1 PE=2 SV=1	Hylobates agilis	1861	9206	95.9	97.2	0.0
41	TR	A0A075VSU6	Breast cancer type 1 susceptibility protein homolog OS=Hylobates pileatus OX=9589 GN=BRCA1 PE=2 SV=1	Hylobates pileatus	1861	9206	96.0	97.2	0.0
42	TR	A0A9Y1VUM8	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1795	9194	96.3	96.3	0.0
43	TR	A0A2R9AFG1	Breast cancer type 1 susceptibility protein homolog OS=Pan paniscus OX=9597 PE=4 SV=1	Pan paniscus	1849	9190	95.3	95.9	0.0
44	TR	A0A386IN52	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1791	9190	100.0	100.0	0.0
45	TR	A0A9Y1QPY6	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1803	9184	100.0	100.0	0.0
46	TR	A0A2I3HFG1	RING-type E3 ubiquitin transferase OS=Nomascus leucogenys OX=61853 GN=BRCA1 PE=4 SV=1	Nomascus leucogenys	1884	9174	94.8	96.1	0.0
47	TR	A0A9Y1VR53	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1774	9127	97.7	97.7	0.0
48	TR	A0A9E8Z2K8	RING-type E3 ubiquitin transferase (Fragment) OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1773	9082	100.0	100.0	0.0
49	TR	A0A386IN60	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1755	9057	100.0	100.0	0.0
50	TR	A0A075VNS0	Breast cancer type 1 susceptibility protein homolog OS=Miopithecus talapoin OX=36231 GN=BRCA1 PE=2 SV=1	Miopithecus talapoin	1863	8955	93.3	96.2	0.0
51	TR	A0A2K6CBL3	Breast cancer type 1 susceptibility protein homolog OS=Macaca nemestrina OX=9545 PE=4 SV=1	Macaca nemestrina	1863	8953	93.2	96.1	0.0
52	TR	A0A2K6CBU0	RING-type E3 ubiquitin transferase OS=Macaca nemestrina OX=9545 PE=4 SV=1	Macaca nemestrina	1894	8953	93.2	96.1	0.0
53	TR	G3S764	Breast cancer type 1 susceptibility protein homolog OS=Gorilla gorilla gorilla OX=9595 GN=BRCA1 PE=4 SV=2	Gorilla gorilla gorilla	1824	8945	94.1	95.2	0.0
54	TR	A0A075VSV6	Breast cancer type 1 susceptibility protein homolog OS=Papio anubis OX=9555 GN=BRCA1 PE=2 SV=1	Papio anubis	1863	8945	93.2	96.1	0.0
55	TR	A0A386IQ66	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1763	8941	99.9	99.9	0.0
56	TR	A0A075VSV1	Breast cancer type 1 susceptibility protein homolog OS=Macaca fascicularis OX=9541 GN=BRCA1 PE=2 SV=1	Macaca fascicularis	1863	8940	93.2	96.0	0.0
57	TR	F7BG30	Breast cancer type 1 susceptibility protein homolog OS=Macaca mulatta OX=9544 GN=BRCA1 PE=4 SV=2	Macaca mulatta	1863	8938	93.1	96.0	0.0
58	TR	H9ZCR7	Breast cancer type 1 susceptibility protein homolog OS=Macaca mulatta OX=9544 GN=BRCA1 PE=2 SV=1	Macaca mulatta	1863	8935	93.0	96.0	0.0
59	SP	Q6J6I9	Breast cancer type 1 susceptibility protein homolog OS=Macaca mulatta OX=9544 GN=BRCA1 PE=3 SV=1	Macaca mulatta	1863	8933	93.0	95.9	0.0
60	TR	A0A075VQZ6	Breast cancer type 1 susceptibility protein homolog OS=Lophocebus albigena OX=75567 GN=BRCA1 PE=2 SV=1	Lophocebus albigena	1864	8930	93.0	96.0	0.0
61	TR	A0A2K6CBV9	RING-type E3 ubiquitin transferase OS=Macaca nemestrina OX=9545 PE=4 SV=1	Macaca nemestrina	1884	8918	92.1	95.1	0.0
62	TR	A0A2K5P2W5	Breast cancer type 1 susceptibility protein homolog OS=Cercocebus atys OX=9531 PE=4 SV=1	Cercocebus atys	1862	8915	93.0	95.9	0.0
63	TR	A0A075VXL6	Breast cancer type 1 susceptibility protein homolog OS=Colobus guereza OX=33548 GN=BRCA1 PE=2 SV=1	Colobus guereza	1864	8908	92.8	95.7	0.0
64	TR	A0A075VXM0	Breast cancer type 1 susceptibility protein homolog OS=Cercopithecus wolfi OX=263448 GN=BRCA1 PE=2 SV=1	Cercopithecus wolfi	1863	8908	92.8	95.7	0.0
65	TR	F6PQM4	RING-type E3 ubiquitin transferase OS=Macaca mulatta OX=9544 GN=BRCA1 PE=4 SV=2	Macaca mulatta	1884	8903	92.0	94.9	0.0
66	TR	A0A2K5VLL8	RING-type E3 ubiquitin transferase OS=Macaca fascicularis OX=9541 PE=4 SV=1	Macaca fascicularis	1884	8901	92.0	94.9	0.0
67	TR	A0A8C9HP31	Breast cancer type 1 susceptibility protein homolog OS=Piliocolobus tephrosceles OX=591936 GN=BRCA1 PE=4 SV=1	Piliocolobus tephrosceles	1864	8879	92.8	95.7	0.0
68	TR	A0A386IPW2	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1718	8864	100.0	100.0	0.0
69	TR	G3R2Z8	Breast cancer type 1 susceptibility protein homolog OS=Gorilla gorilla gorilla OX=9595 GN=BRCA1 PE=4 SV=2	Gorilla gorilla gorilla	1798	8859	93.3	94.3	0.0
70	TR	A0A096P5X3	Breast cancer type 1 susceptibility protein homolog OS=Papio anubis OX=9555 PE=4 SV=3	Papio anubis	1846	8852	93.0	95.9	0.0
71	TR	A0A2I3LUU0	Breast cancer type 1 susceptibility protein homolog OS=Papio anubis OX=9555 PE=4 SV=2	Papio anubis	1867	8817	91.9	94.9	0.0
72	TR	A0A2K6CBW0	Breast cancer type 1 susceptibility protein homolog OS=Macaca nemestrina OX=9545 PE=4 SV=1	Macaca nemestrina	1853	8809	92.0	95.1	0.0
73	TR	A0A8D2K0V6	Breast cancer type 1 susceptibility protein homolog OS=Theropithecus gelada OX=9565 PE=4 SV=1	Theropithecus gelada	1842	8783	92.0	94.8	0.0
74	TR	F7BG37	Breast cancer type 1 susceptibility protein homolog OS=Macaca mulatta OX=9544 GN=BRCA1 PE=4 SV=3	Macaca mulatta	1872	8760	91.4	94.3	0.0
75	TR	F7BFJ5	Breast cancer type 1 susceptibility protein homolog OS=Macaca mulatta OX=9544 GN=BRCA1 PE=4 SV=3	Macaca mulatta	1868	8759	91.7	94.6	0.0
76	TR	A0A2K5VLT0	Breast cancer type 1 susceptibility protein homolog OS=Macaca fascicularis OX=9541 PE=4 SV=2	Macaca fascicularis	1872	8758	91.5	94.3	0.0
77	TR	A0A8D2F1K0	Breast cancer type 1 susceptibility protein homolog OS=Theropithecus gelada OX=9565 PE=4 SV=1	Theropithecus gelada	1863	8748	90.9	93.8	0.0
78	TR	A0A2K5P309	Breast cancer type 1 susceptibility protein homolog OS=Cercocebus atys OX=9531 PE=4 SV=1	Cercocebus atys	1871	8737	91.3	94.2	0.0
79	TR	G3SDS7	Breast cancer type 1 susceptibility protein homolog OS=Gorilla gorilla gorilla OX=9595 GN=BRCA1 PE=4 SV=2	Gorilla gorilla gorilla	1818	8732	91.4	92.5	0.0
80	TR	A0A2K6CBT1	RING-type E3 ubiquitin transferase OS=Macaca nemestrina OX=9545 PE=4 SV=1	Macaca nemestrina	1880	8731	92.6	95.6	0.0
81	TR	A0A2I3N412	Breast cancer type 1 susceptibility protein homolog OS=Papio anubis OX=9555 PE=4 SV=3	Papio anubis	1834	8559	92.9	95.8	0.0
82	TR	A0A2K5YGJ8	Breast cancer type 1 susceptibility protein homolog OS=Mandrillus leucophaeus OX=9568 PE=4 SV=1	Mandrillus leucophaeus	1843	8527	91.0	94.1	0.0
83	TR	A0AA49K9A2	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1676	8403	99.9	100.0	0.0
84	TR	A0A075VXL9	Breast cancer type 1 susceptibility protein homolog OS=Alouatta sara OX=121123 GN=BRCA1 PE=2 SV=1	Alouatta sara	1867	8397	88.2	92.5	0.0
85	TR	A0A2K6QXL8	Breast cancer type 1 susceptibility protein homolog OS=Rhinopithecus roxellana OX=61622 PE=4 SV=1	Rhinopithecus roxellana	1836	8362	92.6	95.6	0.0
86	TR	A0A075VR02	Breast cancer type 1 susceptibility protein homolog OS=Saimiri sciureus OX=9521 GN=BRCA1 PE=2 SV=1	Saimiri sciureus	1859	8360	87.7	92.5	0.0
87	TR	A0A6J3I0G4	Breast cancer type 1 susceptibility protein homolog OS=Sapajus apella OX=9515 GN=BRCA1 PE=4 SV=1	Sapajus apella	1858	8351	88.0	92.6	0.0
88	TR	A0A6J3HZI0	Breast cancer type 1 susceptibility protein homolog OS=Sapajus apella OX=9515 GN=BRCA1 PE=4 SV=1	Sapajus apella	1857	8334	87.9	92.5	0.0
89	TR	F7GXA1	RING-type E3 ubiquitin transferase OS=Callithrix jacchus OX=9483 PE=4 SV=4	Callithrix jacchus	1884	8329	87.8	92.6	0.0
90	TR	A0A6J3HZH5	Breast cancer type 1 susceptibility protein homolog OS=Sapajus apella OX=9515 GN=BRCA1 PE=4 SV=1	Sapajus apella	1872	8326	87.3	91.9	0.0
91	TR	A0A075VSB0	Breast cancer type 1 susceptibility protein homolog OS=Plecturocebus cupreus OX=202457 GN=BRCA1 PE=2 SV=1	Plecturocebus cupreus	1860	8313	87.2	91.9	0.0
92	TR	A0A6J3HYP8	Breast cancer type 1 susceptibility protein homolog OS=Sapajus apella OX=9515 GN=BRCA1 PE=4 SV=1	Sapajus apella	1871	8310	87.3	91.9	0.0
93	TR	A0A6J3HZD4	Breast cancer type 1 susceptibility protein homolog OS=Sapajus apella OX=9515 GN=BRCA1 PE=4 SV=1	Sapajus apella	1871	8309	87.3	91.9	0.0
94	TR	A0A2K6MZH4	Breast cancer type 1 susceptibility protein homolog OS=Rhinopithecus bieti OX=61621 PE=4 SV=1	Rhinopithecus bieti	1806	8300	88.0	91.1	0.0
95	TR	A0A2K5C6K8	Breast cancer type 1 susceptibility protein homolog OS=Aotus nancymaae OX=37293 PE=4 SV=2	Aotus nancymaae	1827	8295	88.5	93.1	0.0
96	TR	A0A2K6MZL2	Breast cancer type 1 susceptibility protein homolog OS=Rhinopithecus bieti OX=61621 PE=4 SV=1	Rhinopithecus bieti	1818	8267	87.5	90.7	0.0
97	TR	A0A2K5QMV3	Breast cancer type 1 susceptibility protein homolog OS=Cebus imitator OX=2715852 GN=BRCA1 PE=4 SV=2	Cebus imitator	1830	8161	87.4	92.2	0.0
98	TR	A0A8D2F504	Breast cancer type 1 susceptibility protein homolog OS=Theropithecus gelada OX=9565 PE=4 SV=1	Theropithecus gelada	1734	8142	92.5	95.7	0.0
99	TR	C9IZW4	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1567	8126	100.0	100.0	0.0
100	TR	A0A2K5IME1	Breast cancer type 1 susceptibility protein homolog OS=Colobus angolensis palliatus OX=336983 PE=4 SV=1	Colobus angolensis palliatus	1762	8116	86.8	89.5	0.0
101	TR	A0A2K5IMD1	Breast cancer type 1 susceptibility protein homolog OS=Colobus angolensis palliatus OX=336983 PE=4 SV=1	Colobus angolensis palliatus	1775	8088	86.2	88.8	0.0
102	TR	A0A6J3HYQ4	Breast cancer type 1 susceptibility protein homolog OS=Sapajus apella OX=9515 GN=BRCA1 PE=4 SV=1	Sapajus apella	1825	8081	87.1	91.7	0.0
103	TR	A0A386INJ5	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1546	7962	100.0	100.0	0.0
104	TR	A0ABM1D2U0	RING-type E3 ubiquitin transferase OS=Ceratotherium simum simum OX=73337 GN=LOC101387147 PE=4 SV=1	Ceratotherium simum simum	1941	7374	78.4	86.6	0.0
105	TR	A0A8C4LUL8	Breast cancer type 1 susceptibility protein homolog OS=Equus asinus OX=9793 GN=BRCA1 PE=4 SV=2	Equus asinus	1856	7240	76.8	86.0	0.0
106	TR	A0A2Y9GE80	Breast cancer type 1 susceptibility protein homolog OS=Neomonachus schauinslandi OX=29088 GN=BRCA1 PE=4 SV=1	Neomonachus schauinslandi	1877	7240	76.8	85.5	0.0
107	TR	A0A6I9HYX5	Breast cancer type 1 susceptibility protein homolog OS=Vicugna pacos OX=30538 GN=BRCA1 PE=4 SV=2	Vicugna pacos	1859	7211	76.8	85.7	0.0
108	TR	A0ABM2FPF0	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1856	7210	76.6	85.7	0.0
109	TR	A0A6J3B334	Breast cancer type 1 susceptibility protein homolog OS=Vicugna pacos OX=30538 GN=BRCA1 PE=4 SV=2	Vicugna pacos	1858	7194	76.8	85.6	0.0
110	TR	A0ABM2FLH1	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1855	7194	76.6	85.7	0.0
111	TR	A0ABM2FPK4	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1855	7193	76.6	85.7	0.0
112	TR	A0ABM4JPQ9	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1855	7193	76.6	85.7	0.0
113	TR	A0A9L0S903	Breast cancer type 1 susceptibility protein homolog OS=Equus caballus OX=9796 GN=BRCA1 PE=4 SV=1	Equus caballus	1855	7181	76.5	85.6	0.0
114	TR	A0ABM4JPR5	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1854	7177	76.5	85.6	0.0
115	TR	A0ABM4JPR3	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1854	7177	76.5	85.6	0.0
116	TR	A0ABM4JPR4	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1854	7176	76.5	85.6	0.0
117	TR	A0ABM4JPS2	Breast cancer type 1 susceptibility protein homolog OS=Equus przewalskii OX=9798 GN=BRCA1 PE=4 SV=1	Equus przewalskii	1853	7160	76.5	85.6	0.0
118	TR	A0A6J2FK19	RING-type E3 ubiquitin transferase OS=Zalophus californianus OX=9704 GN=BRCA1 PE=4 SV=1	Zalophus californianus	1885	7158	76.6	84.9	0.0
119	TR	A0A9W3H2D1	Breast cancer type 1 susceptibility protein homolog OS=Camelus bactrianus OX=9837 GN=BRCA1 PE=4 SV=1	Camelus bactrianus	1859	7154	76.2	85.3	0.0
120	TR	A0A8B8R589	Breast cancer type 1 susceptibility protein homolog OS=Camelus ferus OX=419612 GN=BRCA1 PE=4 SV=1	Camelus ferus	1859	7154	76.2	85.3	0.0
121	TR	A0A6J2FK21	RING-type E3 ubiquitin transferase OS=Zalophus californianus OX=9704 GN=BRCA1 PE=4 SV=1	Zalophus californianus	1884	7142	76.6	84.8	0.0
122	TR	A0A6J2FKC2	RING-type E3 ubiquitin transferase OS=Zalophus californianus OX=9704 GN=BRCA1 PE=4 SV=1	Zalophus californianus	1884	7141	76.6	84.8	0.0
123	TR	A0A9W3FJP6	Breast cancer type 1 susceptibility protein homolog OS=Camelus bactrianus OX=9837 GN=BRCA1 PE=4 SV=1	Camelus bactrianus	1858	7138	76.2	85.3	0.0
124	TR	A0A8B8R590	Breast cancer type 1 susceptibility protein homolog OS=Camelus ferus OX=419612 GN=BRCA1 PE=4 SV=1	Camelus ferus	1858	7138	76.2	85.3	0.0
125	TR	A0A9W3FJU0	Breast cancer type 1 susceptibility protein homolog OS=Camelus bactrianus OX=9837 GN=BRCA1 PE=4 SV=1	Camelus bactrianus	1858	7137	76.2	85.3	0.0
126	TR	A0A8B8R7Y9	Breast cancer type 1 susceptibility protein homolog OS=Camelus ferus OX=419612 GN=BRCA1 PE=4 SV=1	Camelus ferus	1858	7137	76.2	85.3	0.0
127	TR	A0A8C8XAM3	Breast cancer type 1 susceptibility protein homolog OS=Panthera leo OX=9689 GN=BRCA1 PE=4 SV=1	Panthera leo	1866	7136	76.3	84.7	0.0
128	TR	A0A9B0LZS8	RING-type E3 ubiquitin transferase OS=Odobenus rosmarus divergens OX=9708 GN=BRCA1 PE=4 SV=1	Odobenus rosmarus divergens	1880	7133	76.5	84.7	0.0
129	TR	A0A9V1EX31	Breast cancer type 1 susceptibility protein homolog OS=Panthera pardus OX=9691 GN=BRCA1 PE=4 SV=1	Panthera pardus	1874	7130	76.2	84.6	0.0
130	TR	A0A6J2FK24	RING-type E3 ubiquitin transferase OS=Zalophus californianus OX=9704 GN=BRCA1 PE=4 SV=1	Zalophus californianus	1883	7125	76.5	84.8	0.0
131	TR	A0A3Q7N7C1	RING-type E3 ubiquitin transferase OS=Callorhinus ursinus OX=34884 GN=BRCA1 PE=4 SV=2	Callorhinus ursinus	1913	7123	76.3	84.7	0.0
132	TR	A0A3Q7NFR8	RING-type E3 ubiquitin transferase OS=Callorhinus ursinus OX=34884 GN=BRCA1 PE=4 SV=2	Callorhinus ursinus	1886	7123	76.3	84.7	0.0
133	TR	A0AC58NNT4	Breast cancer type 1 susceptibility protein homolog OS=Camelus bactrianus OX=9837 GN=BRCA1 PE=4 SV=1	Camelus bactrianus	1857	7121	76.1	85.2	0.0
134	TR	A0A9V1EXB1	Breast cancer type 1 susceptibility protein homolog OS=Panthera pardus OX=9691 GN=BRCA1 PE=4 SV=1	Panthera pardus	1873	7114	76.1	84.6	0.0
135	TR	A0A9V1EXA7	Breast cancer type 1 susceptibility protein homolog OS=Panthera pardus OX=9691 GN=BRCA1 PE=4 SV=1	Panthera pardus	1873	7113	76.1	84.6	0.0
136	TR	A0A341B7G8	Breast cancer type 1 susceptibility protein homolog OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BRCA1 PE=4 SV=1	Neophocaena asiaeorientalis asiaeorientalis	1866	7110	76.5	84.9	0.0
137	TR	A0A3Q7NB04	RING-type E3 ubiquitin transferase OS=Callorhinus ursinus OX=34884 GN=BRCA1 PE=4 SV=2	Callorhinus ursinus	1912	7107	76.3	84.6	0.0
138	TR	A0A3Q7NBK2	RING-type E3 ubiquitin transferase OS=Callorhinus ursinus OX=34884 GN=BRCA1 PE=4 SV=2	Callorhinus ursinus	1912	7106	76.3	84.6	0.0
139	TR	A0A2Y9LXF5	Breast cancer type 1 susceptibility protein homolog OS=Delphinapterus leucas OX=9749 GN=BRCA1 PE=4 SV=1	Delphinapterus leucas	1866	7105	76.5	84.9	0.0
140	TR	A0A7J7EQH5	Breast cancer type 1 susceptibility protein homolog OS=Diceros bicornis minor OX=77932 GN=HPG69_015933 PE=4 SV=1	Diceros bicornis minor	1840	7103	76.4	84.5	0.0
141	TR	A0A9V1EXA5	Breast cancer type 1 susceptibility protein homolog OS=Panthera pardus OX=9691 GN=BRCA1 PE=4 SV=1	Panthera pardus	1872	7097	76.1	84.5	0.0
142	TR	A0A341B5Q8	Breast cancer type 1 susceptibility protein homolog OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BRCA1 PE=4 SV=1	Neophocaena asiaeorientalis asiaeorientalis	1870	7095	76.3	84.7	0.0
143	TR	A0A341B928	Breast cancer type 1 susceptibility protein homolog OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BRCA1 PE=4 SV=1	Neophocaena asiaeorientalis asiaeorientalis	1865	7093	76.5	84.8	0.0
144	TR	A0A3Q7PN57	RING-type E3 ubiquitin transferase OS=Callorhinus ursinus OX=34884 GN=BRCA1 PE=4 SV=2	Callorhinus ursinus	1911	7090	76.2	84.6	0.0
