Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
46	TR	A0A1U7U6S9	Serine/threonine-protein kinase mTOR OS=Carlito syrichta OX=1868482 GN=MTOR PE=3 SV=1	Carlito syrichta	2548	13115	99.6	99.8	0.0
47	TR	A0A8B7I792	Serine/threonine-protein kinase mTOR OS=Microcebus murinus OX=30608 GN=MTOR PE=3 SV=1	Microcebus murinus	2549	13114	99.5	99.6	0.0
48	TR	A0A8B7K6R6	Serine/threonine-protein kinase mTOR OS=Camelus ferus OX=419612 GN=MTOR PE=3 SV=1	Camelus ferus	2550	13113	99.5	99.6	0.0
49	TR	A0ACI6R8R6	Uncharacterized protein OS=Ovis aries OX=9940 GN=MTOR PE=4 SV=1	Ovis aries	2554	13112	99.5	99.6	0.0
50	TR	H0X9K8	Serine/threonine-protein kinase mTOR OS=Otolemur garnettii OX=30611 GN=MTOR PE=3 SV=1	Otolemur garnettii	2549	13109	99.5	99.6	0.0
51	TR	A0A3Q7MYG3	Serine/threonine-protein kinase mTOR OS=Callorhinus ursinus OX=34884 GN=MTOR PE=3 SV=1	Callorhinus ursinus	2550	13107	99.5	99.6	0.0
52	TR	A0A6J2E0J8	Serine/threonine-protein kinase mTOR OS=Zalophus californianus OX=9704 GN=MTOR PE=3 SV=1	Zalophus californianus	2550	13107	99.5	99.6	0.0
53	TR	A0ABM1CIG8	Serine/threonine-protein kinase mTOR OS=Ceratotherium simum simum OX=73337 GN=LOC101391567 PE=3 SV=1	Ceratotherium simum simum	2554	13105	99.4	99.6	0.0
54	TR	A0A384CDN2	Serine/threonine-protein kinase mTOR OS=Ursus maritimus OX=29073 GN=MTOR PE=3 SV=2	Ursus maritimus	2550	13102	99.5	99.6	0.0
55	TR	A0A3Q1MEZ6	Serine/threonine-protein kinase mTOR OS=Bos taurus OX=9913 GN=MTOR PE=3 SV=2	Bos taurus	2560	13102	99.3	99.4	0.0
56	TR	A0A6I9HXM8	Serine/threonine-protein kinase mTOR OS=Vicugna pacos OX=30538 GN=MTOR PE=3 SV=2	Vicugna pacos	2550	13102	99.4	99.5	0.0
57	TR	A0A3Q7TR17	Serine/threonine-protein kinase mTOR OS=Vulpes vulpes OX=9627 GN=MTOR PE=3 SV=1	Vulpes vulpes	2550	13101	99.4	99.6	0.0
58	TR	A0A2Y9KGB8	Serine/threonine-protein kinase mTOR OS=Enhydra lutris kenyoni OX=391180 GN=LOC111154883 PE=3 SV=1	Enhydra lutris kenyoni	2550	13100	99.4	99.6	0.0
59	TR	A0A2Y9E154	Serine/threonine-protein kinase mTOR OS=Trichechus manatus latirostris OX=127582 GN=MTOR PE=3 SV=1	Trichechus manatus latirostris	2550	13099	99.5	99.6	0.0
60	TR	A0ABM4NPQ0	Serine/threonine-protein kinase mTOR OS=Equus przewalskii OX=9798 GN=MTOR PE=3 SV=1	Equus przewalskii	2554	13099	99.4	99.5	0.0
61	TR	A0A5F8A945	Serine/threonine-protein kinase mTOR OS=Macaca mulatta OX=9544 GN=MTOR PE=3 SV=1	Macaca mulatta	2541	13098	99.6	99.6	0.0
62	TR	A0A811YNR8	Serine/threonine-protein kinase mTOR OS=Nyctereutes procyonoides OX=34880 GN=NYPRO_LOCUS11086 PE=3 SV=1	Nyctereutes procyonoides	2548	13097	99.4	99.6	0.0
63	TR	A0A2U4AZP3	Serine/threonine-protein kinase mTOR OS=Tursiops truncatus OX=9739 GN=MTOR PE=3 SV=1	Tursiops truncatus	2548	13097	99.4	99.6	0.0
64	TR	A0A8B9X4U8	Serine/threonine-protein kinase mTOR OS=Bos grunniens OX=30521 GN=MTOR PE=3 SV=1	Bos grunniens	2549	13095	99.5	99.6	0.0
65	TR	A0A8B7A0C2	Serine/threonine-protein kinase mTOR OS=Orycteropus afer afer OX=1230840 GN=MTOR PE=3 SV=1	Orycteropus afer afer	2550	13095	99.4	99.6	0.0
66	TR	A0A8U0SQE6	Serine/threonine-protein kinase mTOR OS=Mustela putorius furo OX=9669 GN=MTOR PE=3 SV=1	Mustela putorius furo	2552	13094	99.2	99.5	0.0
67	TR	A0A2Y9QA27	Serine/threonine-protein kinase mTOR OS=Delphinapterus leucas OX=9749 GN=MTOR PE=3 SV=1	Delphinapterus leucas	2548	13093	99.4	99.6	0.0
68	TR	A0A8C9BR09	Serine/threonine-protein kinase mTOR OS=Phocoena sinus OX=42100 GN=MTOR PE=3 SV=1	Phocoena sinus	2548	13093	99.4	99.6	0.0
69	TR	F1RHR8	Serine/threonine-protein kinase mTOR OS=Sus scrofa OX=9823 GN=MTOR PE=1 SV=4	Sus scrofa	2548	13093	99.4	99.6	0.0
70	TR	A0A8C6B2Q5	Serine/threonine-protein kinase mTOR OS=Monodon monoceros OX=40151 GN=MTOR PE=3 SV=1	Monodon monoceros	2548	13093	99.4	99.6	0.0
71	TR	A0A341BTF2	Serine/threonine-protein kinase mTOR OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=MTOR PE=3 SV=1	Neophocaena asiaeorientalis asiaeorientalis	2548	13093	99.4	99.6	0.0
72	TR	A0A8B7UYY3	Serine/threonine-protein kinase mTOR OS=Castor canadensis OX=51338 GN=Mtor PE=3 SV=2	Castor canadensis	2548	13091	99.4	99.6	0.0
73	TR	G1LST9	Serine/threonine-protein kinase mTOR OS=Ailuropoda melanoleuca OX=9646 GN=MTOR PE=3 SV=2	Ailuropoda melanoleuca	2548	13090	99.4	99.6	0.0
74	TR	A0ABM3THS2	Serine/threonine-protein kinase mTOR OS=Balaenoptera acutorostrata OX=9767 GN=MTOR PE=3 SV=1	Balaenoptera acutorostrata	2548	13089	99.3	99.5	0.0
75	TR	A0A7J8FAF1	Serine/threonine-protein kinase mTOR OS=Molossus molossus OX=27622 GN=HJG59_012609 PE=3 SV=1	Molossus molossus	2549	13089	99.2	99.5	0.0
76	TR	A0A0P6JH97	Serine/threonine-protein kinase mTOR OS=Heterocephalus glaber OX=10181 GN=Mtor PE=3 SV=1	Heterocephalus glaber	2551	13088	99.3	99.6	0.0
77	TR	A0A2Y9GKT9	Serine/threonine-protein kinase mTOR OS=Neomonachus schauinslandi OX=29088 GN=MTOR PE=3 SV=1	Neomonachus schauinslandi	2550	13087	99.3	99.5	0.0
78	TR	A0A9V1G7S4	Serine/threonine-protein kinase mTOR OS=Panthera pardus OX=9691 GN=MTOR PE=3 SV=1	Panthera pardus	2550	13086	99.3	99.5	0.0
79	TR	A0ABI8ALK7	Serine/threonine-protein kinase mTOR OS=Felis catus OX=9685 GN=MTOR PE=3 SV=1	Felis catus	2550	13086	99.3	99.5	0.0
80	TR	A0A8C8WZ70	Serine/threonine-protein kinase mTOR OS=Panthera leo OX=9689 GN=MTOR PE=3 SV=1	Panthera leo	2550	13086	99.3	99.5	0.0
81	TR	A0A6J0A376	Serine/threonine-protein kinase mTOR OS=Acinonyx jubatus OX=32536 GN=MTOR PE=3 SV=1	Acinonyx jubatus	2550	13086	99.3	99.5	0.0
82	TR	A0A7J8KCW6	Serine/threonine-protein kinase mTOR OS=Rousettus aegyptiacus OX=9407 GN=HJG63_013697 PE=3 SV=1	Rousettus aegyptiacus	2550	13085	99.3	99.6	0.0
83	TR	A0A3Q7MX27	Serine/threonine-protein kinase mTOR OS=Callorhinus ursinus OX=34884 GN=MTOR PE=3 SV=1	Callorhinus ursinus	2561	13085	99.1	99.2	0.0
84	TR	A0ACI8R6Z1	Mechanistic target of rapamycin kinase OS=Homo sapiens OX=9606 GN=MTOR PE=4 SV=1	Homo sapiens	2537	13084	99.5	99.5	0.0
85	TR	A0A485PLT7	Serine/threonine-protein kinase mTOR OS=Lynx pardinus OX=191816 GN=LYPA_23C012711 PE=3 SV=1	Lynx pardinus	2550	13081	99.3	99.5	0.0
86	TR	A0A667IQF0	Serine/threonine-protein kinase mTOR OS=Lynx canadensis OX=61383 GN=MTOR PE=3 SV=1	Lynx canadensis	2550	13081	99.3	99.5	0.0
87	TR	A0A2U3XVT2	Serine/threonine-protein kinase mTOR OS=Leptonychotes weddellii OX=9713 GN=MTOR PE=3 SV=1	Leptonychotes weddellii	2550	13080	99.3	99.5	0.0
88	TR	A0AC55DTF1	Serine/threonine-protein kinase mTOR OS=Echinops telfairi OX=9371 GN=MTOR PE=3 SV=1	Echinops telfairi	2550	13079	99.3	99.5	0.0
89	TR	A0A8C5KDC6	Serine/threonine-protein kinase mTOR OS=Jaculus jaculus OX=51337 GN=Mtor PE=3 SV=1	Jaculus jaculus	2544	13078	99.6	99.6	0.0
90	TR	A0A6B0QWF2	Serine/threonine-protein kinase mTOR OS=Bos mutus OX=72004 GN=E5288_WYG004863 PE=3 SV=1	Bos mutus	2551	13077	99.4	99.6	0.0
91	TR	A0A8C3W3Z0	Serine/threonine-protein kinase mTOR OS=Catagonus wagneri OX=51154 GN=MTOR PE=3 SV=1	Catagonus wagneri	2548	13072	99.4	99.6	0.0
92	TR	A0A2Y9SVG2	Serine/threonine-protein kinase mTOR OS=Physeter macrocephalus OX=9755 GN=MTOR PE=3 SV=1	Physeter macrocephalus	2548	13071	99.2	99.5	0.0
93	TR	A0A9B0TJD8	Serine/threonine-protein kinase mTOR OS=Chrysochloris asiatica OX=185453 GN=MTOR PE=3 SV=1	Chrysochloris asiatica	2550	13069	99.2	99.5	0.0
94	TR	A0A8C6E205	Serine/threonine-protein kinase mTOR OS=Moschus moschiferus OX=68415 GN=MTOR PE=3 SV=1	Moschus moschiferus	2547	13067	99.3	99.6	0.0
95	TR	A0ACF6G1Q1	Serine serine/threonine-protein kinase mTOR OS=Sigmodon hispidus OX=42415 GN=HispidOSU_018930 PE=4 SV=1	Sigmodon hispidus	2549	13064	99.1	99.4	0.0
96	TR	A0A2K6BF26	Serine/threonine-protein kinase mTOR OS=Macaca nemestrina OX=9545 PE=3 SV=1	Macaca nemestrina	2546	13063	99.3	99.4	0.0
97	TR	A0AC55DTE9	Serine/threonine-protein kinase mTOR OS=Echinops telfairi OX=9371 GN=MTOR PE=3 SV=1	Echinops telfairi	2554	13061	99.1	99.3	0.0
98	TR	K9IQM6	Serine/threonine-protein kinase mTOR OS=Desmodus rotundus OX=9430 PE=2 SV=1	Desmodus rotundus	2549	13059	98.9	99.4	0.0
99	TR	D9I5T4	Serine/threonine-protein kinase mTOR OS=Capra hircus OX=9925 GN=mTOR PE=2 SV=1	Capra hircus	2549	13059	99.1	99.5	0.0
100	TR	A0A7J7ZYW2	Serine/threonine-protein kinase mTOR OS=Myotis myotis OX=51298 GN=mMyoMyo1_013466 PE=3 SV=1	Myotis myotis	2549	13058	98.9	99.3	0.0
101	TR	A0ABN9ZWJ5	Serine/threonine-protein kinase mTOR OS=Pipistrellus nathusii OX=59473 GN=MPIPNATIZW_LOCUS8898 PE=3 SV=1	Pipistrellus nathusii	2550	13056	99.0	99.3	0.0
102	TR	G3TFL3	Serine/threonine-protein kinase mTOR OS=Loxodonta africana OX=9785 GN=MTOR PE=3 SV=1	Loxodonta africana	2546	13055	99.4	99.5	0.0
103	TR	A0A7J8FBH5	Serine/threonine-protein kinase mTOR OS=Molossus molossus OX=27622 GN=HJG59_012609 PE=3 SV=1	Molossus molossus	2545	13055	99.0	99.3	0.0
104	TR	A0A6J2LJC4	Serine/threonine-protein kinase mTOR OS=Phyllostomus discolor OX=89673 GN=MTOR PE=3 SV=1	Phyllostomus discolor	2548	13054	99.1	99.4	0.0
105	TR	A0A673UCA3	Serine/threonine-protein kinase mTOR OS=Suricata suricatta OX=37032 GN=MTOR PE=3 SV=1	Suricata suricatta	2550	13053	99.0	99.4	0.0
106	TR	A0A8B8WJA4	Serine/threonine-protein kinase mTOR OS=Balaenoptera musculus OX=9771 GN=MTOR PE=3 SV=1	Balaenoptera musculus	2548	13052	99.1	99.3	0.0
107	TR	A0ABM3THS9	Serine/threonine-protein kinase mTOR OS=Balaenoptera acutorostrata OX=9767 GN=MTOR PE=3 SV=1	Balaenoptera acutorostrata	2574	13049	98.3	98.5	0.0
108	TR	A0A8C8TNT6	Serine/threonine-protein kinase mTOR OS=Peromyscus maniculatus bairdii OX=230844 PE=3 SV=1	Peromyscus maniculatus bairdii	2549	13046	98.9	99.3	0.0
109	TR	A0A7J7T0X0	Serine/threonine-protein kinase mTOR OS=Pipistrellus kuhlii OX=59472 GN=mPipKuh1_011918 PE=3 SV=1	Pipistrellus kuhlii	2550	13046	98.9	99.2	0.0
110	SP	P42346	Serine/threonine-protein kinase mTOR OS=Rattus norvegicus OX=10116 GN=Mtor PE=1 SV=1	Rattus norvegicus	2549	13045	98.9	99.3	0.0
111	TR	A0A8C6GYQ1	Serine/threonine-protein kinase mTOR OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	2549	13043	98.9	99.3	0.0
112	TR	A0AA41MKW2	Exosome complex component 10 OS=Sciurus carolinensis OX=30640 GN=SUZIE_124885 PE=3 SV=1	Sciurus carolinensis	3977	13043	98.8	98.9	0.0
113	SP	Q9JLN9	Serine/threonine-protein kinase mTOR OS=Mus musculus OX=10090 GN=Mtor PE=1 SV=2	Mus musculus	2549	13042	98.9	99.3	0.0
114	TR	A0A6P5PQB2	Serine/threonine-protein kinase mTOR OS=Mus caroli OX=10089 GN=Mtor PE=3 SV=1	Mus caroli	2549	13040	98.9	99.3	0.0
115	TR	A0A7J7ZYV4	Serine/threonine-protein kinase mTOR OS=Myotis myotis OX=51298 GN=mMyoMyo1_013466 PE=3 SV=1	Myotis myotis	2553	13040	98.7	99.1	0.0
116	TR	A0A9J7F8T9	Serine/threonine-protein kinase mTOR OS=Cricetulus griseus OX=10029 GN=Mtor PE=3 SV=1	Cricetulus griseus	2549	13039	98.8	99.3	0.0
117	TR	L5LPP5	Serine/threonine-protein kinase mTOR (Fragment) OS=Myotis davidii OX=225400 GN=MDA_GLEAN10024380 PE=3 SV=1	Myotis davidii	2595	13033	98.4	98.8	0.0
118	TR	G1T4N5	Serine/threonine-protein kinase mTOR OS=Oryctolagus cuniculus OX=9986 GN=MTOR PE=3 SV=2	Oryctolagus cuniculus	2547	13031	98.9	99.3	0.0
119	TR	K9J0U3	Serine/threonine-protein kinase mTOR OS=Desmodus rotundus OX=9430 PE=2 SV=1	Desmodus rotundus	2574	13023	98.0	98.4	0.0
120	TR	A0A340XST0	Serine/threonine-protein kinase mTOR OS=Lipotes vexillifer OX=118797 GN=MTOR PE=3 SV=1	Lipotes vexillifer	2544	13020	99.1	99.4	0.0
121	TR	A0A1U7R1Y1	Serine/threonine-protein kinase mTOR OS=Mesocricetus auratus OX=10036 GN=Mtor PE=3 SV=1	Mesocricetus auratus	2549	13013	98.6	99.3	0.0
122	TR	A0A6G1AYX6	Serine/threonine-protein kinase mTOR (Fragment) OS=Crocuta crocuta OX=9678 GN=Mtor_1 PE=3 SV=1	Crocuta crocuta	2544	13008	99.1	99.4	0.0
123	TR	A0AAJ7MV86	Serine/threonine-protein kinase mTOR OS=Rhinopithecus bieti OX=61621 PE=3 SV=1	Rhinopithecus bieti	2527	13004	98.9	99.0	0.0
124	TR	A0A2K6Q8W9	Serine/threonine-protein kinase mTOR OS=Rhinopithecus roxellana OX=61622 GN=MTOR PE=3 SV=1	Rhinopithecus roxellana	2527	13004	98.9	99.0	0.0
125	TR	A0A8I3WWL1	Serine/threonine-protein kinase mTOR OS=Callithrix jacchus OX=9483 GN=MTOR PE=3 SV=1	Callithrix jacchus	2530	13002	99.0	99.1	0.0
126	TR	A0A8C6S6H1	Serine/threonine-protein kinase mTOR OS=Nannospalax galili OX=1026970 GN=Mtor PE=3 SV=1	Nannospalax galili	2549	12992	98.5	99.0	0.0
127	TR	S7N7U1	Serine/threonine-protein kinase mTOR OS=Myotis brandtii OX=109478 GN=D623_10022009 PE=3 SV=1	Myotis brandtii	2634	12990	98.4	98.8	0.0
128	TR	A0A0G2JX74	Serine/threonine-protein kinase mTOR OS=Rattus norvegicus OX=10116 GN=Mtor PE=1 SV=2	Rattus norvegicus	2553	12989	98.5	98.9	0.0
129	TR	A0ACI8TTC9	Mechanistic target of rapamycin kinase OS=Homo sapiens OX=9606 GN=MTOR PE=4 SV=1	Homo sapiens	2520	12985	98.9	98.9	0.0
130	TR	G1P265	Serine/threonine-protein kinase mTOR OS=Myotis lucifugus OX=59463 GN=MTOR PE=3 SV=1	Myotis lucifugus	2547	12982	98.7	99.2	0.0
131	TR	A0A1U8CIG4	Serine/threonine-protein kinase mTOR OS=Mesocricetus auratus OX=10036 GN=Mtor PE=3 SV=1	Mesocricetus auratus	2543	12967	98.4	99.1	0.0
132	TR	A0A2U3WPU6	Serine/threonine-protein kinase mTOR OS=Odobenus rosmarus divergens OX=9708 GN=MTOR PE=3 SV=1	Odobenus rosmarus divergens	2559	12965	98.4	98.7	0.0
133	TR	F6Z3T6	Serine/threonine-protein kinase mTOR OS=Equus caballus OX=9796 GN=MTOR PE=3 SV=3	Equus caballus	2524	12948	98.5	98.6	0.0
134	TR	A0A8C0K5V7	Serine/threonine-protein kinase mTOR OS=Canis lupus dingo OX=286419 GN=MTOR PE=3 SV=1	Canis lupus dingo	2528	12947	98.5	98.7	0.0
135	TR	A0ABM0RSS4	Serine/threonine-protein kinase mTOR OS=Galeopterus variegatus OX=482537 GN=MTOR PE=3 SV=1	Galeopterus variegatus	2521	12941	98.5	98.6	0.0
136	TR	A0ABM3VRD6	Serine/threonine-protein kinase mTOR OS=Erinaceus europaeus OX=9365 GN=MTOR PE=3 SV=1	Erinaceus europaeus	2544	12939	98.0	99.0	0.0
137	TR	A0A8B8UA67	Serine/threonine-protein kinase mTOR OS=Camelus ferus OX=419612 GN=MTOR PE=3 SV=1	Camelus ferus	2523	12937	98.4	98.5	0.0
138	TR	A0ABM1ALC0	Serine/threonine-protein kinase mTOR OS=Microtus ochrogaster OX=79684 GN=Mtor PE=3 SV=1	Microtus ochrogaster	2553	12926	98.0	98.7	0.0
139	TR	A0A287BKJ8	Serine/threonine-protein kinase mTOR OS=Sus scrofa OX=9823 GN=MTOR PE=1 SV=2	Sus scrofa	2522	12912	98.5	98.7	0.0
140	TR	A0A2U4AZQ0	Serine/threonine-protein kinase mTOR OS=Tursiops truncatus OX=9739 GN=MTOR PE=3 SV=1	Tursiops truncatus	2519	12911	98.3	98.4	0.0
141	TR	A0A8C9BTI1	Serine/threonine-protein kinase mTOR OS=Phocoena sinus OX=42100 GN=MTOR PE=3 SV=1	Phocoena sinus	2519	12907	98.2	98.4	0.0
142	TR	A0A341BRY8	Serine/threonine-protein kinase mTOR OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=MTOR PE=3 SV=1	Neophocaena asiaeorientalis asiaeorientalis	2519	12907	98.2	98.4	0.0
143	TR	G3R506	Serine/threonine-protein kinase mTOR OS=Gorilla gorilla gorilla OX=9595 GN=MTOR PE=3 SV=2	Gorilla gorilla gorilla	2520	12885	98.4	98.5	0.0
144	TR	A0A2K6EJ37	Serine/threonine-protein kinase mTOR OS=Propithecus coquereli OX=379532 PE=3 SV=1	Propithecus coquereli	2536	12872	98.2	98.4	0.0
145	TR	A0A8C0K4V6	Serine/threonine-protein kinase mTOR OS=Canis lupus dingo OX=286419 GN=MTOR PE=3 SV=1	Canis lupus dingo	2550	12868	97.6	97.7	0.0
